Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews
Beinn na h-Uamha,3.64,762.40,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Ardgour,56.74279,-5.407536,134.0,3.79,There is space to park with care just to the north of the bridge over the River Gour - take care not to impede any entrances.,None nearby,No,3.0-4.1 hrs,09:19,
Little Wyvis,3.07,763.00,Northern Highlands and Outer Hebrides,Loch Broom to Easter Ross,Easter Ross,57.64279,-4.632644,185.5,4.51,"From the car park take the footpath from near the entrance that heads across the old, double-arched stone bridge, with great views over the falls upriver.",None nearby,No,3.1-4.1 hrs,07:52,
"Cnoc Coinnich, Ardgoil",3.57,763.50,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Cowal and Ardgoil,56.166618,-4.846572,101.7,3.35,"There is parking here, and further parking over the bridge and round to the right to a car park at the back.",None nearby,No,3.1-4.1 hrs,10:11,
Meall an Fhùdair,3.29,764.00,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Glen Fyne,56.333904,-4.798879,93.6,2.82,Parking at head of Glen Fyne off A83 (NN229137),None nearby,No,3.1-4.1 hrs,11:15,
Spidean Còinich,4.47,764.00,Northern Highlands and Outer Hebrides,Coigach and Assynt,Quinag,58.201891,-5.054469,239.2,5.18,There is a car parking area off the east side of the A894 at NC232273.,None nearby,No,3.1-4.1 hrs,06:32,
"An Caisteal, Ben Loyal",4.41,764.20,Northern Highlands and Outer Hebrides,Loch Shin to the Pentland Firth,Loch Eribol to Loch Naver,58.404942,-4.43502,234.2,5.03,There is a parking area on the left side.,None nearby,No,3.1-4.1 hrs,06:50,
Bràigh nan Uamhachan,3.47,765.00,Western Highlands and Inner Hebrides,South Morar to Glen Loy,Glen Finnan and Gleann Fionnlighe,56.927405,-5.328583,156.1,4.11,There is a small car park (signed Craigag car park) maintained by the Fassfern estate off to the north side of the A830 just west of the bridge over the Dubh Lighe.,None nearby,No,3.1-4.1 hrs,08:40,
Dùn da Ghaoithe,4.11,766.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Isle of Mull,56.460456,-5.779527,170.4,4.62,There is an informal parking area up on the right and limited space on the grassy verge.,None nearby,No,3.1-4.1 hrs,07:39,
Beinn Liath Mhòr a' Ghiubhais Li,2.78,766.00,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,The Fannichs,57.698677,-4.886377,193.2,4.15,"There is a parking area on the Loch Glascarnoch side of the A835 near the northern end of the loch, around a kilometre southeast of Torrandhu bridge.",None nearby,No,3.1-4.1 hrs,08:35,
Fuar Bheinn,3.20,766.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Morvern,56.649508,-5.503082,141.9,3.68,There is a good sized area for parking just east of the bridge at Glengalmadale farm.,None nearby,No,3.1-4.1 hrs,09:32,
