Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews,PostCode
Innerdownie,3.3,610.00,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Ochils,56.209632,-3.667506,38.9,1.29,"Glen Sherup car park, 1.5mi W of Glendevon (NN971051)",None nearby,YES,2.2-3.0 hrs,15:25,,FK14
Earncraig Hill,3.1,611.00,Southern Uplands,Galloway,Lowther Hills,55.295748,-3.61867,70.6,2.47,Wanlockhead village parking (NS873131),Wanlockhead museum,No,2.2-3.0 hrs,13:03,,DG10
Herman Law,2.9,614.40,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.428848,-3.244367,45.9,1.34,"Over Phawhope parking, Ettrick Valley (NT256120)",None nearby,No,2.2-3.0 hrs,15:19,,DG10
Cauldcleuch Head,2.8,618.60,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.29723,-2.857445,77.6,2.21,"Grey Mare's Tail car park, A708 (NT186144)",Moffat town centre,No,2.3-3.1 hrs,13:28,,TD9
Lousie Wood Law,2.8,619.00,Southern Uplands,Galloway,Lowther Hills,55.419601,-3.688781,49.2,1.5,Wanlockhead village parking (NS873131),Wanlockhead museum,No,2.3-3.1 hrs,14:54,,DG4
Windy Gyle,3.4,619.00,Southern Uplands,The Borders,Cheviots,55.430595,-2.230064,62.7,2.18,"It's possible to park at the end of the narrow minor road up the Bowmont Water, in a grassy area on the right just before the ford at Cocklawfoot Farm.",None nearby,No,2.3-3.1 hrs,13:32,,NE71
Dungeon Hill,4.1,620.90,Southern Uplands,Galloway,Glen Trool and Glenkens,55.136077,-4.416814,101.7,4.7,Glen Trool visitor centre car park (NX397788),Glen Trool visitor centre,No,2.3-3.1 hrs,08:30,,DG8
Dundreich,3.8,623.00,Southern Uplands,The Borders,Moorfoot Hills,55.729788,-3.156503,20.1,0.87,Gladhouse Reservoir informal parking (NT291528),None nearby,No,2.3-3.1 hrs,16:09,,EH45
Whitehope Law,2.6,623.00,Southern Uplands,The Borders,Moorfoot Hills,55.690038,-3.06682,29.1,1.34,"Leithen Road car park, Innerleithen (NT332368)",Innerleithen town centre,No,2.3-3.1 hrs,15:13,,EH44
Coran of Portmark,3.4,623.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.214689,-4.344655,89.8,3.16,Glen Trool visitor centre car park (NX397788),Glen Trool visitor centre,No,2.3-3.1 hrs,11:34,,KA6
Bell Craig,2.8,623.00,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.40294,-3.286113,53.6,1.74,"Grey Mare's Tail car park, A708 (NT186144)",Moffat town centre,No,2.3-3.1 hrs,14:25,,DG10
Bowbeat Hill,2.1,626.00,Southern Uplands,The Borders,Moorfoot Hills,55.710419,-3.127075,30.7,2.24,Gladhouse Reservoir informal parking (NT291528),None nearby,No,2.3-3.1 hrs,13:25,,EH45
Hudderstone,2.2,626.00,Southern Uplands,The Borders,Tinto and Culter Fells,55.528173,-3.550715,43.5,1.79,Layby near Coulter Reservoir (NT031310),None nearby,No,2.3-3.1 hrs,14:19,,ML12
